date,cases_Ada,cases_Canyon,deaths_Ada,deaths_Canyon,ada_new_cases,ada_new_deaths,canyon_new_cases,canyon_new_deaths
2020-08-30,11109,7205,125,76,29,0,79,1
2020-08-31,11176,7222,126,78,67,1,17,2
2020-09-01,11297,7261,127,80,121,1,39,2
2020-09-02,11374,7304,128,81,77,1,43,1
2020-09-03,11411,7332,128,81,37,0,28,0
2020-09-04,11481,7392,129,85,70,1,60,4
2020-09-05,11558,7435,129,85,77,0,43,0
2020-09-06,11622,7471,130,85,64,1,36,0
2020-09-07,11628,7491,130,85,6,0,20,0
2020-09-08,11693,7528,131,85,65,1,37,0
2020-09-09,11750,7576,138,88,57,7,48,3
2020-09-10,11823,7618,138,88,73,0,42,0
2020-09-11,11873,7652,140,89,50,2,34,1
2020-09-12,11923,7671,140,90,50,0,19,1
2020-09-13,11953,7687,140,90,30,0,16,0
2020-09-14,11980,7721,140,93,27,0,34,3
2020-09-15,12043,7729,142,94,63,2,8,1
2020-09-16,12106,7778,143,96,63,1,49,2
2020-09-17,12169,7809,143,97,63,0,31,1
2020-09-18,12268,7850,144,98,99,1,41,1
2020-09-19,12321,7873,144,99,53,0,23,1
2020-09-20,12351,7896,145,99,30,1,23,0
2020-09-21,12417,7929,145,99,66,0,33,0
2020-09-22,12471,7973,147,100,54,2,44,1
2020-09-23,12513,8004,147,100,42,0,31,0
2020-09-24,12574,8061,147,101,61,0,57,1
2020-09-25,12720,8105,147,101,146,0,44,0
2020-09-26,12720,8105,147,101,0,0,0,0
2020-09-27,12720,8105,147,101,0,0,0,0
2020-09-28,12942,8203,147,101,222,0,98,0
2020-09-29,12994,8244,147,101,52,0,41,0
2020-09-30,13129,8308,148,102,135,1,64,1
2020-10-01,13246,8338,148,102,117,0,30,0
2020-10-02,13310,8375,148,102,64,0,37,0
2020-10-03,13310,8375,150,102,0,2,0,0
2020-10-04,13310,8375,151,103,0,1,0,1
2020-10-05,13616,8446,152,103,306,1,71,0
2020-10-06,13732,8446,153,103,116,1,0,0
2020-10-07,13886,8581,153,103,154,0,135,0
2020-10-08,14016,8646,153,103,130,0,65,0
2020-10-09,14138,8724,153,103,122,0,78,0
2020-10-10,14138,8724,153,103,0,0,0,0
2020-10-11,14138,8724,153,103,0,0,0,0
2020-10-12,14508,8724,155,104,370,2,0,1
2020-10-13,14559,8879,156,104,51,1,155,0
2020-10-14,14637,8942,156,104,78,0,63,0
2020-10-15,14841,9036,156,104,204,0,94,0
2020-10-16,14841,9110,156,106,0,0,74,2
2020-10-17,14841,9110,157,106,0,1,0,0
2020-10-18,14841,9110,157,106,0,0,0,0
2020-10-19,15215,9250,157,106,374,0,140,0
2020-10-20,15402,9345,157,107,187,0,95,1
2020-10-21,15468,9460,159,108,66,2,115,1
2020-10-22,15770,9557,160,109,302,1,97,1
2020-10-23,15976,9661,163,108,206,3,104,-1
2020-10-24,16179,9736,164,108,203,1,75,0
2020-10-25,16179,9736,165,108,0,1,0,0
2020-10-26,16460,9854,167,108,281,2,118,0
2020-10-27,16600,9940,167,108,140,0,86,0
2020-10-28,16745,10038,167,108,145,0,98,0
2020-10-29,16962,10171,175,109,217,8,133,1
2020-10-30,17124,10297,178,111,162,3,126,2
2020-10-31,17326,10335,180,111,202,2,38,0
2020-11-01,17451,10417,181,111,125,1,82,0
2020-11-02,17599,10540,184,113,148,3,123,2
2020-11-03,17897,10644,184,114,298,0,104,1
2020-11-04,18173,10849,185,116,276,1,205,2
2020-11-05,18390,11029,186,118,217,1,180,2
2020-11-06,18698,11156,191,119,308,5,127,1
2020-11-07,19065,11301,191,119,367,0,145,0
2020-11-08,19325,11385,193,120,260,2,84,1
2020-11-09,19673,11481,195,121,348,2,96,1
2020-11-10,20021,11708,199,124,348,4,227,3
2020-11-11,20492,11789,203,127,471,4,81,3
2020-11-12,20725,11978,204,128,233,1,189,1
2020-11-13,20966,12217,204,128,241,0,239,0
2020-11-14,21278,12439,208,130,312,4,222,2
2020-11-15,21561,12602,208,130,283,0,163,0
2020-11-16,21746,12716,209,131,185,1,114,1
2020-11-17,22032,12874,215,132,286,6,158,1
2020-11-18,22316,13054,215,132,284,0,180,0
2020-11-19,22660,13325,223,134,344,8,271,2
2020-11-20,23132,13482,225,135,472,2,157,1
2020-11-21,23344,13672,225,136,212,0,190,1
2020-11-22,23455,13846,225,136,111,0,174,0
2020-11-23,23743,14097,230,136,288,5,251,0
2020-11-24,24048,14378,230,140,305,0,281,4
2020-11-25,24372,14611,236,142,324,6,233,2
2020-11-26,24372,14611,236,142,0,0,0,0
2020-11-27,24910,15091,238,142,538,2,480,0
2020-11-28,25131,15178,240,142,221,2,87,0
2020-11-29,25364,15372,240,142,233,0,194,0
2020-11-30,25821,15556,241,142,457,1,184,0
2020-12-01,26209,15754,245,142,388,4,198,0
2020-12-02,26673,15951,252,146,464,7,197,4
2020-12-03,27036,16144,258,149,363,6,193,3
2020-12-04,27461,16409,264,153,425,6,265,4
2020-12-05,27834,16540,264,153,373,0,131,0
2020-12-06,28075,16729,265,154,241,1,189,1
2020-12-07,28549,16891,272,154,474,7,162,0
2020-12-08,29063,17135,272,157,514,0,244,3
2020-12-09,29767,17324,275,169,704,3,189,12
2020-12-10,30205,17667,276,170,438,1,343,1
2020-12-11,30775,17858,283,176,570,7,191,6
2020-12-12,31070,17970,285,176,295,2,112,0
2020-12-13,31227,18076,285,180,157,0,106,4
2020-12-14,31722,18272,291,181,495,6,196,1
2020-12-15,32190,18531,295,184,468,4,259,3
2020-12-16,32714,18735,302,192,524,7,204,8
2020-12-17,33192,18966,308,195,478,6,231,3
2020-12-18,33619,19103,311,197,427,3,137,2
2020-12-19,33926,19205,311,197,307,0,102,0
2020-12-20,34109,19324,311,197,183,0,119,0
2020-12-21,34670,19441,316,198,561,5,117,1
2020-12-22,35221,19591,320,203,551,4,150,5
2020-12-23,35763,19750,330,207,542,10,159,4
2020-12-24,36185,19873,333,210,422,3,123,3
2020-12-25,36185,19873,333,210,0,0,0,0
2020-12-26,36438,19903,335,210,253,2,30,0
2020-12-27,36588,20009,335,210,150,0,106,0
2020-12-28,37103,20089,338,212,515,3,80,2
2020-12-29,37649,20317,338,212,546,0,228,0
2020-12-30,37936,20489,343,214,287,5,172,2
2020-12-31,38417,20605,355,219,481,12,116,5
2021-01-01,38417,20605,355,219,0,0,0,0
2021-01-02,38633,20749,358,221,216,3,144,2
2021-01-03,38681,20849,358,221,48,0,100,0
2021-01-04,39095,20982,358,223,414,0,133,2
2021-01-05,39464,21139,361,222,369,3,157,-1
2021-01-06,39738,21322,363,226,274,2,183,4
2021-01-07,40092,21470,366,231,354,3,148,5
2021-01-08,40370,21644,368,232,278,2,174,1
2021-01-09,40604,21769,368,233,234,0,125,1
2021-01-10,40790,21826,374,233,186,6,57,0
2021-01-11,41006,21932,380,233,216,6,106,0
2021-01-12,41173,22047,383,235,167,3,115,2
2021-01-13,41453,22220,385,234,280,2,173,-1
2021-01-14,41702,22363,387,237,249,2,143,3
